date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:30	55086/55086	U-----	200	untouched ('OK')	text/html	etag:W/%22212a7564171754c0ba7aee0fe0eff812%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-pressed	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-pressed.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:25:30	54730/54730	U-----	200	untouched ('OK')	text/html	etag:W/%22a7757148a5102d05a2cb74c73bff0588%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-readonly	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-readonly.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:25:30	55134/55134	U-----	200	untouched ('OK')	text/html	etag:W/%2288c5f290de9a44b73b7dd4a3960d70c3%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-relevant	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-relevant.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:25:32	51476/51476	---MCZ	200	added ('OK')	text/html	etag:W/%223a66cb9fe64b465db55589ef1fe32591%22	https://developer.mozilla.org/ru/docs/Web/Accessibility/ARIA/ARIA_Live_Regions	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/ru/docs/Web/Accessibility/ARIA/ARIA_Live_Regions.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Live_Regions)
13:25:32	75978/75978	U-----	200	untouched ('OK')	text/html	etag:W/%22fe90f0d50c389c8811db8fc740ee50ca%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-rowcount	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-rowcount.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:25:32	69828/69828	U-----	200	untouched ('OK')	text/html	etag:W/%225c1be566579056f5644ed8b28802fd38%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-required	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-required.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:25:32	60702/60702	U-----	200	untouched ('OK')	text/html	etag:W/%221c4f8622310b93225c488a6d912dcffe%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-roledescription	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-roledescription.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:25:34	113650/113650	---MCZ	200	added ('OK')	text/html	etag:W/%2233a0ad8f0041f005c1acf8e9c1acb3f1%22	https://developer.mozilla.org/zh-CN/docs/Web/Accessibility/ARIA/ARIA_Live_Regions	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/zh-CN/docs/Web/Accessibility/ARIA/ARIA_Live_Regions.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Live_Regions)
13:25:34	85658/85658	U-----	200	untouched ('OK')	text/html	etag:W/%220bc7f01535e021ec8b7a989aa0d5e599%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-rowindex	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-rowindex.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:25:34	51860/51860	U-----	200	untouched ('OK')	text/html	etag:W/%220535cd4af90952ff0b024fe6f0ab19cb%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-rowindextext	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-rowindextext.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
